Tempo   |   E[N]          |    E[W]         | Erro_little                   |  Ocupação
24500    | 8.645288        | 1.733090        | 0.00000000034883207434        | 0.898145
24600    | 8.629222        | 1.729965        | 0.00000000034767211332        | 0.897920
24700    | 8.613885        | 1.727014        | 0.00000000008483169722        | 0.897710
24800    | 8.594314        | 1.723171        | 0.00000000022831336821        | 0.897393
24900    | 8.570811        | 1.719161        | 0.00000000017292833832        | 0.896864
25000    | 8.559175        | 1.717206        | 0.00000000018739143570        | 0.896708
25100    | 8.544901        | 1.714321        | 0.00000000027678126457        | 0.896574
25200    | 8.527544        | 1.710968        | 0.00000000018072476848        | 0.896329
25300    | 8.562520        | 1.717323        | 0.00000000013395506926        | 0.896587
25400    | 8.563353        | 1.717716        | 0.00000000002784616981        | 0.896733
25500    | 8.569337        | 1.718585        | -0.00000000018230039700        | 0.896874
25600    | 8.563860        | 1.717805        | -0.00000000026889956928        | 0.896790
25700    | 8.547136        | 1.714859        | -0.00000000038820324733        | 0.896606
25800    | 8.546137        | 1.714584        | -0.00000000026661162167        | 0.896385
25900    | 8.531901        | 1.711561        | -0.00000000041256420502        | 0.896259
26000    | 8.527545        | 1.710351        | -0.00000000053015902779        | 0.896397
26100    | 8.507045        | 1.706391        | -0.00000000044925130283        | 0.895978
26200    | 8.497201        | 1.704671        | -0.00000000036195757502        | 0.895969
26300    | 8.508605        | 1.706822        | -0.00000000032025404550        | 0.896346
26400    | 8.534853        | 1.711262        | -0.00000000029607249985        | 0.896624
26500    | 8.562262        | 1.716481        | -0.00000000027619329046        | 0.896960
26600    | 8.561611        | 1.716154        | -0.00000000027881874587        | 0.897021
26700    | 8.554900        | 1.714808        | -0.00000000029220181830        | 0.897087
26800    | 8.556703        | 1.714937        | -0.00000000022111201758        | 0.897269
26900    | 8.564724        | 1.716020        | -0.00000000029320723627        | 0.897426
27000    | 8.548374        | 1.712948        | -0.00000000032067681843        | 0.897238
27100    | 8.561215        | 1.715789        | -0.00000000030752111968        | 0.897420
27200    | 8.554804        | 1.714478        | -0.00000000040356873399        | 0.897422
27300    | 8.552845        | 1.713984        | -0.00000000045484149780        | 0.897416
27400    | 8.568931        | 1.716844        | -0.00000000038622793852        | 0.897718
27500    | 8.560270        | 1.715147        | -0.00000000046288839428        | 0.897678
27600    | 8.543347        | 1.712031        | -0.00000000045093351275        | 0.897449
27700    | 8.568266        | 1.716827        | -0.00000000044100723073        | 0.897526
27800    | 8.564052        | 1.716057        | -0.00000000039998049317        | 0.897557
27900    | 8.604558        | 1.723952        | -0.00000000046034287493        | 0.897910
28000    | 8.608619        | 1.724754        | -0.00000000054720672438        | 0.897844
28100    | 8.623096        | 1.727878        | -0.00000000056910920421        | 0.898011
28200    | 8.617911        | 1.726950        | -0.00000000048434856126        | 0.897969
28300    | 8.614497        | 1.726438        | -0.00000000048116888252        | 0.897957
28400    | 8.618906        | 1.727102        | -0.00000000038177994099        | 0.898021
28500    | 8.667701        | 1.736465        | -0.00000000039219294479        | 0.898297
28600    | 8.658010        | 1.734550        | -0.00000000023279511652        | 0.898232
28700    | 8.648366        | 1.732438        | -0.00000000014103918033        | 0.898212
28800    | 8.632488        | 1.729765        | -0.00000000028011193365        | 0.897807
28900    | 8.633585        | 1.730201        | -0.00000000016946266612        | 0.897846
29000    | 8.614361        | 1.726563        | -0.00000000020226487152        | 0.897434
29100    | 8.608837        | 1.725111        | -0.00000000034648905967        | 0.897649
29200    | 8.609465        | 1.725178        | -0.00000000028897240156        | 0.897776
29300    | 8.593714        | 1.722505        | -0.00000000023500490443        | 0.897553
29400    | 8.588601        | 1.721303        | -0.00000000033890401596        | 0.897476
29500    | 8.590701        | 1.722063        | -0.00000000061617377867        | 0.897500
29600    | 8.580012        | 1.720152        | -0.00000000103097441695        | 0.897443
29700    | 8.575109        | 1.718795        | -0.00000000091442586836        | 0.897548
29800    | 8.576486        | 1.719220        | -0.00000000091343999031        | 0.897474
29900    | 8.600058        | 1.723805        | -0.00000000111106857048        | 0.897614
30000    | 8.580889        | 1.720238        | -0.00000000119175247448        | 0.897200
30100    | 8.585603        | 1.720527        | -0.00000000132184396762        | 0.897378
30200    | 8.609687        | 1.724965        | -0.00000000105502273584        | 0.897587
